TIME_BIN TIME_MIN TIME TIME_MAX COUNTS STAT_ERR AREA EXPOSURE COUNT_RATE COUNT_RATE_ERR
1.0 225088181.16252 225088182.78304 225088184.40355998 0.0 0.0 1920.7829660032442 0.0 0.0 0.0
2.0 225088184.40355998 225088186.02407998 225088187.64459997 0.0 0.0 1920.7829660032442 0.0 0.0 0.0
3.0 225088187.6446 225088189.26512 225088190.88564 0.0 0.0 1920.7829660032442 0.0 0.0 0.0
4.0 225088190.88564 225088192.50616 225088194.12668 0.0 0.0 1920.7829660032442 0.0 0.0 0.0
5.0 225088194.12668 225088195.74719998 225088197.36771998 0.0 0.0 1920.7829660032442 0.0 0.0 0.0
6.0 225088197.36771998 225088198.98823997 225088200.60875997 0.0 0.0 1920.7829660032442 0.0 0.0 0.0
7.0 225088200.60876 225088202.22928 225088203.8498 0.0 0.0 1920.7829660032442 0.0 0.0 0.0
8.0 225088203.8498 225088205.47032 225088207.09083998 0.0 0.0 1920.7829660032442 0.0 0.0 0.0
9.0 225088207.09083998 225088208.71135998 225088210.33187997 0.0 0.0 1920.7829660032442 0.0 0.0 0.0
10.0 225088210.33188 225088211.9524 225088213.57292 0.0 0.0 1920.7829660032442 0.0 0.0 0.0
11.0 225088213.57292 225088215.19344 225088216.81396 0.0 0.0 1920.7829660032442 0.0 0.0 0.0
12.0 225088216.81396 225088218.43447998 225088220.05499998 0.0 0.0 1920.7829660032442 0.0 0.0 0.0
13.0 225088220.05499998 225088221.67551997 225088223.29603997 0.0 0.0 1920.7829660032442 0.0 0.0 0.0
14.0 225088223.29604 225088224.91656 225088226.53708 0.0 0.0 1920.7829660032442 0.0 0.0 0.0
15.0 225088226.53708 225088228.1576 225088229.77811998 0.0 0.0 1920.7829660032442 0.0 0.0 0.0
16.0 225088229.77811998 225088231.39863998 225088233.01915997 0.0 0.0 1920.7829660032442 0.0 0.0 0.0
17.0 225088233.01916 225088234.63968 225088236.2602 0.0 0.0 1920.7829660032442 0.0 0.0 0.0
18.0 225088236.2602 225088237.88072 225088239.50124 0.0 0.0 1920.7829660032442 0.0 0.0 0.0
19.0 225088239.50124 225088241.12175998 225088242.74227998 0.0 0.0 1920.7829660032442 0.0 0.0 0.0
20.0 225088242.74227998 225088244.36279997 225088245.98331997 0.0 0.0 1920.7829660032442 0.0 0.0 0.0
21.0 225088245.98332 225088247.60384 225088249.22436 0.0 0.0 1920.7829660032442 0.0 0.0 0.0
22.0 225088249.22436 225088250.84487998 225088252.46539998 0.0 0.0 1920.7829660032442 0.0 0.0 0.0
23.0 225088252.46539998 225088254.08591998 225088255.70643997 0.0 0.0 1920.7829660032442 0.0 0.0 0.0
24.0 225088255.70644 225088257.32696 225088258.94748 0.0 0.0 1920.7829660032442 0.0 0.0 0.0
25.0 225088258.94748 225088260.568 225088262.18851998 0.0 0.0 1920.7829660032442 0.0 0.0 0.0
26.0 225088262.18851998 225088263.80903998 225088265.42955998 0.0 0.0 1920.7829660032442 0.0 0.0 0.0
27.0 225088265.42956 225088267.05008 225088268.6706 0.0 0.0 1920.7829660032442 0.0 0.0 0.0
28.0 225088268.6706 225088270.29112 225088271.91164 0.0 0.0 1920.7829660032442 0.0 0.0 0.0
29.0 225088271.91164 225088273.53215998 225088275.15267998 0.0 0.0 1920.7829660032442 0.0 0.0 0.0
30.0 225088275.15267998 225088276.77319998 225088278.39371997 0.0 0.0 1920.7829660032442 0.0 0.0 0.0
31.0 225088278.39372 225088280.01424 225088281.63476 0.0 0.0 1920.7829660032442 0.0 0.0 0.0
32.0 225088281.63476 225088283.25528 225088284.87579998 0.0 0.0 1920.7829660032442 0.0 0.0 0.0
33.0 225088284.87579998 225088286.49631998 225088288.11683998 0.0 0.0 1920.7829660032442 0.0 0.0 0.0
34.0 225088288.11684 225088289.73736 225088291.35788 0.0 0.0 1920.7829660032442 0.0 0.0 0.0
35.0 225088291.35788 225088292.9784 225088294.59892 0.0 0.0 1920.7829660032442 0.0 0.0 0.0
36.0 225088294.59892 225088296.21943998 225088297.83995998 0.0 0.0 1920.7829660032442 0.0 0.0 0.0
37.0 225088297.83995998 225088299.46047997 225088301.08099997 0.0 0.0 1920.7829660032442 0.0 0.0 0.0
38.0 225088301.081 225088302.70152 225088304.32204 0.0 0.0 1920.7829660032442 0.0 0.0 0.0
39.0 225088304.32204 225088305.94256 225088307.56307998 0.0 0.0 1920.7829660032442 0.0 0.0 0.0
40.0 225088307.56307998 225088309.18359998 225088310.80411997 0.0 0.0 1920.7829660032442 0.0 0.0 0.0
41.0 225088310.80412 225088312.42464 225088314.04516 0.0 0.0 1920.7829660032442 0.0 0.0 0.0
42.0 225088314.04516 225088315.66568 225088317.2862 0.0 0.0 1920.7829660032442 0.0 0.0 0.0
43.0 225088317.2862 225088318.90671998 225088320.52723998 0.0 0.0 1920.7829660032442 0.0 0.0 0.0
44.0 225088320.52723998 225088322.14775997 225088323.76827997 0.0 0.0 1920.7829660032442 0.0 0.0 0.0
45.0 225088323.76828 225088325.3888 225088327.00932 0.0 0.0 1920.7829660032442 0.0 0.0 0.0
46.0 225088327.00932 225088328.62984 225088330.25035998 0.0 0.0 1920.7829660032442 0.0 0.0 0.0
47.0 225088330.25035998 225088331.87087998 225088333.49139997 0.0 0.0 1920.7829660032442 0.0 0.0 0.0
48.0 225088333.4914 225088335.11192 225088336.73244 0.0 0.0 1920.7829660032442 0.0 0.0 0.0
49.0 225088336.73244 225088338.35296 225088339.97348 0.0 0.0 1920.7829660032442 0.0 0.0 0.0
50.0 225088339.97348 225088341.59399998 225088343.21451998 0.0 0.0 1920.7829660032442 0.0 0.0 0.0
51.0 225088343.21451998 225088344.83503997 225088346.45555997 0.0 0.0 1920.7829660032442 0.0 0.0 0.0
52.0 225088346.45556 225088348.07608 225088349.6966 0.0 0.0 1920.7829660032442 0.0 0.0 0.0
53.0 225088349.6966 225088351.31712 225088352.93763998 0.0 0.0 1920.7829660032442 0.0 0.0 0.0
54.0 225088352.93763998 225088354.55815998 225088356.17867997 0.0 0.0 1920.7829660032442 0.0 0.0 0.0
55.0 225088356.17868 225088357.7992 225088359.41972 0.0 0.0 1920.7829660032442 0.0 0.0 0.0
56.0 225088359.41972 225088361.04024 225088362.66076 0.0 0.0 1920.7829660032442 0.0 0.0 0.0
57.0 225088362.66076 225088364.28127998 225088365.90179998 0.0 0.0 1920.7829660032442 0.0 0.0 0.0
58.0 225088365.90179998 225088367.52231997 225088369.14283997 0.0 0.0 1920.7829660032442 0.0 0.0 0.0
59.0 225088369.14284 225088370.76336 225088372.38388 0.0 0.0 1920.7829660032442 0.0 0.0 0.0
60.0 225088372.38388 225088374.00439999 225088375.62491998 0.0 0.0 1920.7829660032442 0.0 0.0 0.0
61.0 225088375.62491998 225088377.24543998 225088378.86595997 0.0 0.0 1920.7829660032442 0.0 0.0 0.0
62.0 225088378.86596 225088380.48648 225088382.107 0.0 0.0 1920.7829660032442 0.0 0.0 0.0
63.0 225088382.107 225088383.72752 225088385.34803998 0.0 0.0 1920.7829660032442 0.0 0.0 0.0
64.0 225088385.34803998 225088386.96855998 225088388.58907998 0.0 0.0 1920.7829660032442 0.0 0.0 0.0
65.0 225088388.58908 225088390.2096 225088391.83012 0.0 0.0 1920.7829660032442 0.0 0.0 0.0
66.0 225088391.83012 225088393.45064 225088395.07116 0.0 0.0 1920.7829660032442 0.0 0.0 0.0
67.0 225088395.07116 225088396.69167998 225088398.31219998 0.0 0.0 1920.7829660032442 0.0 0.0 0.0
68.0 225088398.31219998 225088399.93271998 225088401.55323997 0.0 0.0 1920.7829660032442 0.0 0.0 0.0
69.0 225088401.55324 225088403.17376 225088404.79428 0.0 0.0 1920.7829660032442 0.0 0.0 0.0
70.0 225088404.79428 225088406.4148 225088408.03531998 0.0 0.0 1920.7829660032442 0.0 0.0 0.0
71.0 225088408.03531998 225088409.65583998 225088411.27635998 0.0 0.0 1920.7829660032442 0.0 0.0 0.0
72.0 225088411.27636 225088412.89688 225088414.5174 0.0 0.0 1920.7829660032442 0.0 0.0 0.0
73.0 225088414.5174 225088416.13792 225088417.75844 0.0 0.0 1920.7829660032442 0.0 0.0 0.0
74.0 225088417.75844 225088419.37895998 225088420.99947998 0.0 0.0 1920.7829660032442 0.0 0.0 0.0
75.0 225088420.99947998 225088422.61999997 225088424.24051997 0.0 0.0 1920.7829660032442 0.0 0.0 0.0
76.0 225088424.24052 225088425.86104 225088427.48156 0.0 0.0 1920.7829660032442 0.0 0.0 0.0
77.0 225088427.48156 225088429.10208 225088430.72259998 0.0 0.0 1920.7829660032442 0.0 0.0 0.0
78.0 225088430.72259998 225088432.34311998 225088433.96363997 0.0 0.0 1920.7829660032442 0.0 0.0 0.0
79.0 225088433.96364 225088435.58416 225088437.20468 0.0 0.0 1920.7829660032442 0.0 0.0 0.0
80.0 225088437.20468 225088438.8252 225088440.44572 0.0 0.0 1920.7829660032442 0.0 0.0 0.0
81.0 225088440.44572 225088442.06623998 225088443.68675998 0.0 0.0 1920.7829660032442 0.0 0.0 0.0
82.0 225088443.68675998 225088445.30727997 225088446.92779997 0.0 0.0 1920.7829660032442 0.0 0.0 0.0
83.0 225088446.9278 225088448.54832 225088450.16884 0.0 0.0 1920.7829660032442 0.0 0.0 0.0
84.0 225088450.16884 225088451.78936 225088453.40987998 0.0 0.0 1920.7829660032442 0.0 0.0 0.0
85.0 225088453.40987998 225088455.03039998 225088456.65091997 0.0 0.0 1920.7829660032442 0.0 0.0 0.0
86.0 225088456.65092 225088458.27144 225088459.89196 0.0 0.0 1920.7829660032442 0.0 0.0 0.0
87.0 225088459.89196 225088461.51248 225088463.133 0.0 0.0 1920.7829660032442 0.0 0.0 0.0
88.0 225088463.133 225088464.75351998 225088466.37403998 0.0 0.0 1920.7829660032442 0.0 0.0 0.0
89.0 225088466.37403998 225088467.99455997 225088469.61507997 0.0 0.0 1920.7829660032442 0.0 0.0 0.0
90.0 225088469.61508 225088471.2356 225088472.85612 0.0 0.0 1920.7829660032442 0.0 0.0 0.0
91.0 225088472.85612 225088474.47664 225088476.09715998 0.0 0.0 1920.7829660032442 0.0 0.0 0.0
92.0 225088476.09715998 225088477.71767998 225088479.33819997 0.0 0.0 1920.7829660032442 0.0 0.0 0.0
93.0 225088479.3382 225088480.95872 225088482.57924 0.0 0.0 1920.7829660032442 0.0 0.0 0.0
94.0 225088482.57924 225088484.19976 225088485.82028 0.0 0.0 1920.7829660032442 0.0 0.0 0.0
95.0 225088485.82028 225088487.44079998 225088489.06131998 0.0 0.0 1920.7829660032442 0.0 0.0 0.0
96.0 225088489.06131998 225088490.68183997 225088492.30235997 0.0 0.0 1920.7829660032442 0.0 0.0 0.0
97.0 225088492.30236 225088493.92288 225088495.5434 0.0 0.0 1920.7829660032442 0.0 0.0 0.0
98.0 225088495.5434 225088497.16392 225088498.78443998 0.0 0.0 1920.7829660032442 0.0 0.0 0.0
99.0 225088498.78443998 225088500.40495998 225088502.02547997 0.0 0.0 1920.7829660032442 0.0 0.0 0.0
100.0 225088502.02548 225088503.646 225088505.26652 0.0 0.0 1920.7829660032442 0.0 0.0 0.0
101.0 225088505.26652 225088506.88704 225088508.50755998 0.0 0.0 1920.7829660032442 0.0 0.0 0.0
102.0 225088508.50755998 225088510.12807998 225088511.74859998 0.0 0.0 1920.7829660032442 0.0 0.0 0.0
103.0 225088511.7486 225088513.36912 225088514.98964 0.0 0.0 1920.7829660032442 0.0 0.0 0.0
104.0 225088514.98964 225088516.61016 225088518.23068 0.0 0.0 1920.7829660032442 0.0 0.0 0.0
105.0 225088518.23068 225088519.85119998 225088521.47171998 0.0 0.0 1920.7829660032442 0.0 0.0 0.0
106.0 225088521.47171998 225088523.09223998 225088524.71275997 0.0 0.0 1920.7829660032442 0.0 0.0 0.0
107.0 225088524.71276 225088526.33328 225088527.9538 0.0 0.0 1920.7829660032442 0.0 0.0 0.0
108.0 225088527.9538 225088529.57432 225088531.19483998 0.0 0.0 1920.7829660032442 0.0 0.0 0.0
109.0 225088531.19483998 225088532.81535998 225088534.43587998 0.0 0.0 1920.7829660032442 0.0 0.0 0.0
110.0 225088534.43588 225088536.0564 225088537.67692 0.0 0.0 1920.7829660032442 0.0 0.0 0.0
111.0 225088537.67692 225088539.29744 225088540.91796 0.0 0.0 1920.7829660032442 0.0 0.0 0.0
112.0 225088540.91796 225088542.53847998 225088544.15899998 0.0 0.0 1920.7829660032442 0.0 0.0 0.0
113.0 225088544.15899998 225088545.77951998 225088547.40003997 0.0 0.0 1920.7829660032442 0.0 0.0 0.0
114.0 225088547.40004 225088549.02056 225088550.64108 0.0 0.0 1920.7829660032442 0.0 0.0 0.0
115.0 225088550.64108 225088552.2616 225088553.88211998 0.0 0.0 1920.7829660032442 0.0 0.0 0.0
116.0 225088553.88211998 225088555.50263998 225088557.12315997 0.0 0.0 1920.7829660032442 0.0 0.0 0.0
117.0 225088557.12316 225088558.74368 225088560.3642 0.0 0.0 1920.7829660032442 0.0 0.0 0.0
118.0 225088560.3642 225088561.98472 225088563.60524 0.0 0.0 1920.7829660032442 0.0 0.0 0.0
119.0 225088563.60524 225088565.22575998 225088566.84627998 0.0 0.0 1920.7829660032442 0.0 0.0 0.0
120.0 225088566.84627998 225088568.46679997 225088570.08731997 0.0 0.0 1920.7829660032442 0.0 0.0 0.0
121.0 225088570.08732 225088571.70784 225088573.32836 0.0 0.0 1920.7829660032442 0.0 0.0 0.0
122.0 225088573.32836 225088574.94888 225088576.56939998 0.0 0.0 1920.7829660032442 0.0 0.0 0.0
123.0 225088576.56939998 225088578.18991998 225088579.81043997 0.0 0.0 1920.7829660032442 0.0 0.0 0.0
124.0 225088579.81044 225088581.43096 225088583.05148 0.0 0.0 1920.7829660032442 0.0 0.0 0.0
125.0 225088583.05148 225088584.672 225088586.29252 0.0 0.0 1920.7829660032442 0.0 0.0 0.0
126.0 225088586.29252 225088587.91303998 225088589.53355998 0.0 0.0 1920.7829660032442 0.0 0.0 0.0
127.0 225088589.53355998 225088591.15407997 225088592.77459997 0.0 0.0 1920.7829660032442 0.0 0.0 0.0
128.0 225088592.7746 225088594.39512 225088596.01564 0.0 0.0 1920.7829660032442 0.0 0.0 0.0
129.0 225088596.01564 225088597.63616 225088599.25667998 0.0 0.0 1920.7829660032442 0.0 0.0 0.0
130.0 225088599.25667998 225088600.87719998 225088602.49771997 0.0 0.0 1920.7829660032442 0.0 0.0 0.0
131.0 225088602.49772 225088604.11824 225088605.73876 0.0 0.0 1920.7829660032442 0.0 0.0 0.0
132.0 225088605.73876 225088607.35928 225088608.9798 0.0 0.0 1920.7829660032442 0.0 0.0 0.0
133.0 225088608.9798 225088610.60031998 225088612.22083998 0.0 0.0 1920.7829660032442 0.0 0.0 0.0
134.0 225088612.22083998 225088613.84135997 225088615.46187997 0.0 0.0 1920.7829660032442 0.0 0.0 0.0
135.0 225088615.46188 225088617.0824 225088618.70292 0.0 0.0 1920.7829660032442 0.0 0.0 0.0
136.0 225088618.70292 225088620.32344 225088621.94395998 0.0 0.0 1920.7829660032442 0.0 0.0 0.0
137.0 225088621.94395998 225088623.56447998 225088625.18499997 0.0 0.0 1920.7829660032442 0.0 0.0 0.0
138.0 225088625.185 225088626.80552 225088628.42604 0.0 0.0 1920.7829660032442 0.0 0.0 0.0
139.0 225088628.42604 225088630.04656 225088631.66708 0.0 0.0 1920.7829660032442 0.0 0.0 0.0
140.0 225088631.66708 225088633.28759998 225088634.90811998 0.0 0.0 1920.7829660032442 0.0 0.0 0.0
141.0 225088634.90811998 225088636.52863997 225088638.14915997 0.0 0.0 1920.7829660032442 0.0 0.0 0.0
142.0 225088638.14916 225088639.76968 225088641.3902 0.0 0.0 1920.7829660032442 0.0 0.0 0.0
143.0 225088641.3902 225088643.01071998 225088644.63123998 0.0 0.0 1920.7829660032442 0.0 0.0 0.0
144.0 225088644.63123998 225088646.25175998 225088647.87227997 0.0 0.0 1920.7829660032442 0.0 0.0 0.0
145.0 225088647.87228 225088649.4928 225088651.11332 0.0 0.0 1920.7829660032442 0.0 0.0 0.0
146.0 225088651.11332 225088652.73384 225088654.35435998 0.0 0.0 1920.7829660032442 0.0 0.0 0.0
147.0 225088654.35435998 225088655.97487998 225088657.59539998 0.0 0.0 1920.7829660032442 0.0 0.0 0.0
148.0 225088657.5954 225088659.21592 225088660.83644 0.0 0.0 1920.7829660032442 0.0 0.0 0.0
149.0 225088660.83644 225088662.45696 225088664.07748 0.0 0.0 1920.7829660032442 0.0 0.0 0.0
150.0 225088664.07748 225088665.69799998 225088667.31851998 0.0 0.0 1920.7829660032442 0.0 0.0 0.0
151.0 225088667.31851998 225088668.93903998 225088670.55955997 0.0 0.0 1920.7829660032442 0.0 0.0 0.0
152.0 225088670.55956 225088672.18008 225088673.8006 0.0 0.0 1920.7829660032442 0.0 0.0 0.0
153.0 225088673.8006 225088675.42112 225088677.04163998 0.0 0.0 1920.7829660032442 0.0 0.0 0.0
154.0 225088677.04163998 225088678.66215998 225088680.28267998 0.0 0.0 1920.7829660032442 0.0 0.0 0.0
