TIME_BIN TIME_MIN TIME TIME_MAX COUNTS STAT_ERR AREA EXPOSURE COUNT_RATE COUNT_RATE_ERR
1.0 124040279.48657 124040281.10709 124040282.72761 0.0 0.0 460.80401538040155 0.0 0.0 0.0
2.0 124040282.72761 124040284.34813002 124040285.96865001 0.0 0.0 460.80401538040155 0.0 0.0 0.0
3.0 124040285.96865 124040287.58917001 124040289.20969 0.0 0.0 460.80401538040155 0.0 0.0 0.0
4.0 124040289.20969 124040290.83021 124040292.45073001 0.0 0.0 460.80401538040155 0.0 0.0 0.0
5.0 124040292.45073 124040294.07124999 124040295.69177 0.0 0.0 460.80401538040155 0.0 0.0 0.0
6.0 124040295.69177 124040297.31229001 124040298.93281001 0.0 0.0 460.80401538040155 0.0 0.0 0.0
7.0 124040298.93281 124040300.55333 124040302.17385 0.0 0.0 460.80401538040155 0.0 0.0 0.0
8.0 124040302.17385 124040303.79437 124040305.41489 0.0 0.0 460.80401538040155 0.0 0.0 0.0
9.0 124040305.41489 124040307.03541002 124040308.65593001 0.0 0.0 460.80401538040155 0.0 0.0 0.0
10.0 124040308.65593 124040310.27645001 124040311.89697 0.0 0.0 460.80401538040155 0.0 0.0 0.0
11.0 124040311.89697 124040313.51749 124040315.13801001 0.0 0.0 460.80401538040155 0.0 0.0 0.0
12.0 124040315.13801 124040316.75852999 124040318.37905 0.0 0.0 460.80401538040155 0.0 0.0 0.0
13.0 124040318.37905 124040319.99957001 124040321.62009001 0.0 0.0 460.80401538040155 0.0 0.0 0.0
14.0 124040321.62009001 124040323.24061 124040324.86113001 0.0 0.0 460.80401538040155 0.0 0.0 0.0
15.0 124040324.86113 124040326.48165 124040328.10217 0.0 0.0 460.80401538040155 0.0 0.0 0.0
16.0 124040328.10217 124040329.72269002 124040331.34321001 0.0 0.0 460.80401538040155 0.0 0.0 0.0
17.0 124040331.34321 124040332.96373 124040334.58425 0.0 0.0 460.80401538040155 0.0 0.0 0.0
18.0 124040334.58425 124040336.20477 124040337.82529001 0.0 0.0 460.80401538040155 0.0 0.0 0.0
19.0 124040337.82529 124040339.44580999 124040341.06633 0.0 0.0 460.80401538040155 0.0 0.0 0.0
20.0 124040341.06633 124040342.68685001 124040344.30737 0.0 0.0 460.80401538040155 0.0 0.0 0.0
21.0 124040344.30737 124040345.92789 124040347.54841001 0.0 0.0 460.80401538040155 0.0 0.0 0.0
22.0 124040347.54841 124040349.16893 124040350.78945 0.0 0.0 460.80401538040155 0.0 0.0 0.0
23.0 124040350.78945 124040352.40997002 124040354.03049001 0.0 0.0 460.80401538040155 0.0 0.0 0.0
24.0 124040354.03049 124040355.65101 124040357.27153 0.0 0.0 460.80401538040155 0.0 0.0 0.0
25.0 124040357.27153 124040358.89205 124040360.51257001 0.0 0.0 460.80401538040155 0.0 0.0 0.0
26.0 124040360.51257 124040362.13308999 124040363.75361 0.0 0.0 460.80401538040155 0.0 0.0 0.0
27.0 124040363.75361 124040365.37413001 124040366.99465 0.0 0.0 460.80401538040155 0.0 0.0 0.0
28.0 124040366.99465 124040368.61517 124040370.23569001 0.0 0.0 460.80401538040155 0.0 0.0 0.0
29.0 124040370.23569 124040371.85621 124040373.47673 0.0 0.0 460.80401538040155 0.0 0.0 0.0
30.0 124040373.47673 124040375.09725001 124040376.71777001 0.0 0.0 460.80401538040155 0.0 0.0 0.0
31.0 124040376.71777 124040378.33829 124040379.95881 0.0 0.0 460.80401538040155 0.0 0.0 0.0
32.0 124040379.95881 124040381.57933 124040383.19985001 0.0 0.0 460.80401538040155 0.0 0.0 0.0
33.0 124040383.19985001 124040384.82037002 124040386.44089001 0.0 0.0 460.80401538040155 0.0 0.0 0.0
34.0 124040386.44089 124040388.06141001 124040389.68193 0.0 0.0 460.80401538040155 0.0 0.0 0.0
35.0 124040389.68193 124040391.30245 124040392.92297001 0.0 0.0 460.80401538040155 0.0 0.0 0.0
