TIME_BIN TIME_MIN TIME TIME_MAX COUNTS STAT_ERR AREA EXPOSURE COUNT_RATE COUNT_RATE_ERR
1.0 224777031.63594 224777033.25645998 224777034.87697998 0.0 0.0 0.0003233177741862884 0.0 0.0 0.0
2.0 224777034.87697998 224777036.49749997 224777038.11801997 0.0 0.0 0.0003233177741862884 0.0 0.0 0.0
3.0 224777038.11802 224777039.73854 224777041.35906 0.0 0.0 0.0003233177741862884 0.0 0.0 0.0
4.0 224777041.35906 224777042.97958 224777044.60009998 0.0 0.0 0.0003233177741862884 0.0 0.0 0.0
5.0 224777044.60009998 224777046.22061998 224777047.84113997 0.0 0.0 0.0003233177741862884 0.0 0.0 0.0
6.0 224777047.84113997 224777049.46165997 224777051.08217996 0.0 0.0 0.0003233177741862884 0.0 0.0 0.0
7.0 224777051.08218 224777052.7027 224777054.32321998 0.0 0.0 0.0003233177741862884 0.0 0.0 0.0
8.0 224777054.32321998 224777055.94373998 224777057.56425998 0.0 0.0 0.0003233177741862884 0.0 0.0 0.0
9.0 224777057.56425998 224777059.18477997 224777060.80529997 0.0 0.0 0.0003233177741862884 0.0 0.0 0.0
10.0 224777060.8053 224777062.42582 224777064.04634 0.0 0.0 0.0003233177741862884 0.0 0.0 0.0
11.0 224777064.04634 224777065.66685998 224777067.28737998 0.0 0.0 0.0003233177741862884 0.0 0.0 0.0
12.0 224777067.28737998 224777068.90789998 224777070.52841997 0.0 0.0 0.0003233177741862884 0.0 0.0 0.0
13.0 224777070.52841997 224777072.14893997 224777073.76945996 0.0 0.0 0.0003233177741862884 0.0 0.0 0.0
14.0 224777073.76946 224777075.38998 224777077.01049998 0.0 0.0 0.0003233177741862884 0.0 0.0 0.0
15.0 224777077.01049998 224777078.63101998 224777080.25153998 0.0 0.0 0.0003233177741862884 0.0 0.0 0.0
16.0 224777080.25153998 224777081.87205997 224777083.49257997 0.0 0.0 0.0003233177741862884 0.0 0.0 0.0
17.0 224777083.49258 224777085.1131 224777086.73362 0.0 0.0 0.0003233177741862884 0.0 0.0 0.0
18.0 224777086.73362 224777088.35413998 224777089.97465998 0.0 0.0 0.0003233177741862884 0.0 0.0 0.0
19.0 224777089.97465998 224777091.59517998 224777093.21569997 0.0 0.0 0.0003233177741862884 0.0 0.0 0.0
20.0 224777093.21569997 224777094.83621997 224777096.45673996 0.0 0.0 0.0003233177741862884 0.0 0.0 0.0
21.0 224777096.45674 224777098.07726 224777099.69777998 0.0 0.0 0.0003233177741862884 0.0 0.0 0.0
22.0 224777099.69777998 224777101.31829998 224777102.93881997 0.0 0.0 0.0003233177741862884 0.0 0.0 0.0
23.0 224777102.93881997 224777104.55933997 224777106.17985997 0.0 0.0 0.0003233177741862884 0.0 0.0 0.0
24.0 224777106.17986 224777107.80038 224777109.4209 0.0 0.0 0.0003233177741862884 0.0 0.0 0.0
25.0 224777109.4209 224777111.04141998 224777112.66193998 0.0 0.0 0.0003233177741862884 0.0 0.0 0.0
26.0 224777112.66193998 224777114.28245997 224777115.90297997 0.0 0.0 0.0003233177741862884 0.0 0.0 0.0
27.0 224777115.90298 224777117.5235 224777119.14402 0.0 0.0 0.0003233177741862884 0.0 0.0 0.0
