TIME_BIN TIME_MIN TIME TIME_MAX COUNTS STAT_ERR AREA EXPOSURE COUNT_RATE COUNT_RATE_ERR
1.0 225169454.9537 225169456.57422 225169458.19474 0.0 0.0 497.01206609743684 0.0 0.0 0.0
2.0 225169458.19474 225169459.81526 225169461.43578 0.0 0.0 497.01206609743684 0.0 0.0 0.0
3.0 225169461.43578002 225169463.0563 225169464.67682 0.0 0.0 497.01206609743684 0.0 0.0 0.0
4.0 225169464.67682 225169466.29734 225169467.91786 0.0 0.0 497.01206609743684 0.0 0.0 0.0
5.0 225169467.91786 225169469.53838 225169471.1589 0.0 0.0 497.01206609743684 0.0 0.0 0.0
6.0 225169471.1589 225169472.77942 225169474.39993998 0.0 0.0 497.01206609743684 0.0 0.0 0.0
7.0 225169474.39994 225169476.02046 225169477.64098 0.0 0.0 497.01206609743684 0.0 0.0 0.0
8.0 225169477.64098 225169479.2615 225169480.88202 0.0 0.0 497.01206609743684 0.0 0.0 0.0
9.0 225169480.88202 225169482.50254 225169484.12306 0.0 0.0 497.01206609743684 0.0 0.0 0.0
10.0 225169484.12306002 225169485.74358 225169487.3641 0.0 0.0 497.01206609743684 0.0 0.0 0.0
11.0 225169487.3641 225169488.98462 225169490.60514 0.0 0.0 497.01206609743684 0.0 0.0 0.0
12.0 225169490.60514 225169492.22566 225169493.84618 0.0 0.0 497.01206609743684 0.0 0.0 0.0
13.0 225169493.84618 225169495.4667 225169497.08721998 0.0 0.0 497.01206609743684 0.0 0.0 0.0
14.0 225169497.08722 225169498.70774 225169500.32826 0.0 0.0 497.01206609743684 0.0 0.0 0.0
15.0 225169500.32826 225169501.94878 225169503.5693 0.0 0.0 497.01206609743684 0.0 0.0 0.0
16.0 225169503.5693 225169505.18982 225169506.81034 0.0 0.0 497.01206609743684 0.0 0.0 0.0
17.0 225169506.81034002 225169508.43086 225169510.05138 0.0 0.0 497.01206609743684 0.0 0.0 0.0
18.0 225169510.05138 225169511.6719 225169513.29242 0.0 0.0 497.01206609743684 0.0 0.0 0.0
19.0 225169513.29242 225169514.91294 225169516.53346 0.0 0.0 497.01206609743684 0.0 0.0 0.0
20.0 225169516.53346 225169518.15398 225169519.77449998 0.0 0.0 497.01206609743684 0.0 0.0 0.0
21.0 225169519.7745 225169521.39502 225169523.01554 0.0 0.0 497.01206609743684 0.0 0.0 0.0
22.0 225169523.01554 225169524.63606 225169526.25658 0.0 0.0 497.01206609743684 0.0 0.0 0.0
23.0 225169526.25658 225169527.8771 225169529.49762 0.0 0.0 497.01206609743684 0.0 0.0 0.0
24.0 225169529.49762002 225169531.11814 225169532.73866 0.0 0.0 497.01206609743684 0.0 0.0 0.0
25.0 225169532.73866 225169534.35918 225169535.9797 0.0 0.0 497.01206609743684 0.0 0.0 0.0
26.0 225169535.9797 225169537.60022 225169539.22074 0.0 0.0 497.01206609743684 0.0 0.0 0.0
27.0 225169539.22074002 225169540.84126002 225169542.46178 0.0 0.0 497.01206609743684 0.0 0.0 0.0
28.0 225169542.46178 225169544.0823 225169545.70282 0.0 0.0 497.01206609743684 0.0 0.0 0.0
29.0 225169545.70282 225169547.32334 225169548.94386 0.0 0.0 497.01206609743684 0.0 0.0 0.0
30.0 225169548.94386 225169550.56438 225169552.1849 0.0 0.0 497.01206609743684 0.0 0.0 0.0
31.0 225169552.18490002 225169553.80542 225169555.42594 0.0 0.0 497.01206609743684 0.0 0.0 0.0
32.0 225169555.42594 225169557.04646 225169558.66698 0.0 0.0 497.01206609743684 0.0 0.0 0.0
33.0 225169558.66698 225169560.2875 225169561.90802 0.0 0.0 497.01206609743684 0.0 0.0 0.0
34.0 225169561.90802002 225169563.52854002 225169565.14906 0.0 0.0 497.01206609743684 0.0 0.0 0.0
35.0 225169565.14906 225169566.76958 225169568.3901 0.0 0.0 497.01206609743684 0.0 0.0 0.0
36.0 225169568.3901 225169570.01062 225169571.63114 0.0 0.0 497.01206609743684 0.0 0.0 0.0
37.0 225169571.63114 225169573.25166 225169574.87217999 0.0 0.0 497.01206609743684 0.0 0.0 0.0
38.0 225169574.87218 225169576.4927 225169578.11322 0.0 0.0 497.01206609743684 0.0 0.0 0.0
39.0 225169578.11322 225169579.73374 225169581.35426 0.0 0.0 497.01206609743684 0.0 0.0 0.0
40.0 225169581.35426 225169582.97478 225169584.5953 0.0 0.0 497.01206609743684 0.0 0.0 0.0
41.0 225169584.59530002 225169586.21582 225169587.83634 0.0 0.0 497.01206609743684 0.0 0.0 0.0
42.0 225169587.83634 225169589.45686 225169591.07738 0.0 0.0 497.01206609743684 0.0 0.0 0.0
43.0 225169591.07738 225169592.6979 225169594.31842 0.0 0.0 497.01206609743684 0.0 0.0 0.0
44.0 225169594.31842 225169595.93894 225169597.55945998 0.0 0.0 497.01206609743684 0.0 0.0 0.0
45.0 225169597.55946 225169599.17998 225169600.8005 0.0 0.0 497.01206609743684 0.0 0.0 0.0
46.0 225169600.8005 225169602.42102 225169604.04154 0.0 0.0 497.01206609743684 0.0 0.0 0.0
47.0 225169604.04154 225169605.66206 225169607.28258 0.0 0.0 497.01206609743684 0.0 0.0 0.0
48.0 225169607.28258002 225169608.9031 225169610.52362 0.0 0.0 497.01206609743684 0.0 0.0 0.0
49.0 225169610.52362 225169612.14414 225169613.76466 0.0 0.0 497.01206609743684 0.0 0.0 0.0
50.0 225169613.76466 225169615.38518 225169617.0057 0.0 0.0 497.01206609743684 0.0 0.0 0.0
51.0 225169617.0057 225169618.62622 225169620.24673998 0.0 0.0 497.01206609743684 0.0 0.0 0.0
